program_id,program_name,campus
36634106321,Аналитика данных и прикладная статистика,Москва
36634122630,Машинное обучение в цифровом продукте,Москва
36634122954,Искусственный интеллект в маркетинге и управлении продуктом,Москва
36634123413,Исследования и предпринимательство в искусственном интеллекте,Москва
36634123785,Искусственный интеллект,Москва
36634125520,Кибербезопасность,Москва
36634126891,Инженерия данных,Москва
36634149870,Аналитика больших данных,Москва
36634166805,ЛигалТех,Москва
36634183392,Финансовые технологии и анализ данных,Москва
36634184649,Цифровая урбанистика и аналитика города,Москва
36634185785,Цифровая инженерия для компьютерных игр,Москва
36634208277,Психоанализ и психоаналитическая психотерапия,Москва
36634208641,Психоанализ и психоаналитическое бизнес-консультирование,Москва
36634209205,Психология в бизнесе,Москва
36634216077,Системная семейная психотерапия,Москва
36634226310,Управление инновационным бизнесом,Москва
36634237558,Управление в креативных индустриях,Москва
36634397148,Управление цифровым продуктом,Москва
36634444313,Маркетинг - менеджмент,Москва
36634448375,Международный бизнес,Москва
36634477214,"Международный спортивный менеджмент, маркетинг и право",Москва
36634484168,Китайский язык в межкультурной бизнес-коммуникации,Москва
36634649665,Дизайн среды,Москва
36634652262,Интерактивный дизайн,Москва
36634656654,Коммуникационный и цифровой дизайн,Москва
36634724644,Экономический анализ,Москва
36634735457,Управление B2C-бизнесом: технологии и инновации,Москва
36634770807,Юрист мирового финансового рынка,Москва
36634777602,"Программа двух дипломов НИУ ВШЭ и Университета Кёнхи ""Экономика, политика и бизнес в Азии""",Москва
36634795496,Финансы,Москва
36634796161,Финансовый аналитик,Москва
36634798363,Финансовый инжиниринг,Москва
36634813694,Международный корпоративный комплаенс и этика бизнеса,Москва
36634826816,Магистр аналитики бизнеса,Москва
36634829009,Корпоративные финансы,Москва
36634831090,Инвестиции на финансовых рынках,Москва
36634856404,Управление продуктом в ИТ-бизнесе,Москва
36634877567,Управление стратегическими коммуникациями,Москва
36635016240,Продюсер в музыкальной индустрии,Москва
36635019313,Продюсер театра и исполнительских искусств,Москва
36635027515,Педагогический дизайн: теория и практика обучения,Москва
36635053719,Практики кураторства в современном искусстве,Москва
36635059832,Практики современного искусства,Москва
36704622200,Прикладная лингвистика: обучение иностранному языку и перевод в цифровой среде,НИУ ВШЭ - Санкт-Петербург
36704623157,Проектирование и разработка высоконагруженных информационных систем,НИУ ВШЭ - Санкт-Петербург
36913199560,Мода,Москва
36922870902,Искусственный интеллект и продуктовый подход в HR-менеджменте,Москва
36923606680,Информационная безопасность систем искусственного интеллекта,Москва
36957165108,"Международный спортивный менеджмент, маркетинг и право",Москва
36971513712,Прикладные нейросетевые технологии,Москва
37038835786,Бэкенд-разработка и архитектура программных систем,Москва
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва
