program_id,program_name,campus,n_budget_applicants,n_commercial_applicants,budget_places,commercial_places
36634208641,Психоанализ и психоаналитическое бизнес-консультирование,Москва,0,305,0,500
36634208277,Психоанализ и психоаналитическая психотерапия,Москва,0,300,0,400
36634123785,Искусственный интеллект,Москва,0,191,0,500
36634446891,Маркетинг: цифровые технологии и маркетинговые коммуникации,Москва,128,59,40,70
36634149870,Аналитика больших данных,Москва,0,180,0,300
36634452450,Международный менеджмент,Москва,123,47,40,23
36634107416,Науки о данных,Москва,120,47,36,15
36634770048,Юрист в бизнесе,Москва,94,60,15,85
36634178506,Современные компьютерные науки,Москва,112,33,38,5
36634741150,Стратегический менеджмент: инвестиции и консалтинг,Москва,95,45,30,55
36634766231,Современное частное право,Москва,85,48,25,20
36634708593,Государственное и муниципальное управление,Москва,92,37,48,10
36634801233,Финансовые рынки и финансовые институты,Москва,91,35,45,5
36634768707,Международные отношения: европейские и азиатские исследования,Москва,89,35,35,12
36634212235,Персонология. Консультативная психология и психотерапия,Москва,91,28,40,20
36634442995,Мировая экономика,Москва,78,40,55,20
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,97,19,40,30
36634128988,Компьютерные системы и сети,Москва,94,17,50,5
36634163420,Прикладные модели искусственного интеллекта,Москва,87,24,20,5
36634764938,Стратегическое управление финансами фирмы,Москва,78,33,40,10
36634771142,Цифровое право,Москва,75,34,20,25
36634648610,Дизайн,Москва,84,24,30,200
36634723090,Экономика и экономическая политика,Москва,78,29,65,10
36634767368,Право международной торговли и разрешение споров,Москва,71,35,20,10
36635024428,Медиаменеджмент,Москва,76,25,20,10
36634125520,Кибербезопасность,Москва,0,100,0,240
36634124446,Информационная безопасность и технологии искусственного интеллекта,Москва,74,25,25,5
36971513712,Прикладные нейросетевые технологии,Москва,0,99,0,200
36634668025,Интерактивные медиа и цифровые индустрии,Москва,71,23,20,10
36634718779,Финансовая экономика,Москва,68,26,25,15
36634122954,Искусственный интеллект в маркетинге и управлении продуктом,Москва,0,94,0,250
36634109304,Математика машинного обучения,Москва,72,21,20,10
36634670304,Кинопроизводство,Москва,72,18,25,25
36634132599,Системная и программная инженерия,Москва,68,21,25,10
36634207252,Системный анализ и математические технологии,Москва,75,12,35,5
36634448375,Международный бизнес,Москва,0,83,0,160
36634441416,Международная торговая политика,Москва,57,25,25,25
36634210173,Прикладная социальная психология,Москва,68,13,20,5
36634809101,Комплаенс и профилактика правовых рисков,Москва,55,25,21,10
36634766800,Публичное право,Москва,59,20,22,10
36634397148,Управление цифровым продуктом,Москва,0,77,0,200
36634444313,Маркетинг - менеджмент,Москва,0,77,0,200
36704612749,Гражданское и коммерческое право,НИУ ВШЭ - Санкт-Петербург,54,22,16,20
36634865048,Современная журналистика,Москва,56,19,20,10
36634856404,Управление продуктом в ИТ-бизнесе,Москва,0,74,0,45
36634894147,Интегрированные коммуникации,Москва,50,24,15,55
36634770503,Юрист в правосудии,Москва,56,17,32,15
36634135464,Системное программирование,Москва,56,17,20,5
36704621942,Экономика и бизнес-консалтинг,НИУ ВШЭ - Санкт-Петербург,50,19,25,20
36634210831,Позитивная психология,Москва,58,11,30,5
36704696181,Иностранные языки и межкультурная коммуникация,Москва,52,14,25,15
36634729389,Статистический анализ в экономике,Москва,53,12,20,2
36634184999,Управление пространственным развитием городов,Москва,50,15,40,35
36634126891,Инженерия данных,Москва,0,64,0,200
37038835786,Бэкенд-разработка и архитектура программных систем,Москва,0,63,0,200
36704609724,Машинное обучение и анализ данных,НИУ ВШЭ - Санкт-Петербург,46,17,30,20
36634229182,"Управление исследованиями, разработками и инновациями в компании",Москва,49,13,25,15
36634724644,Экономический анализ,Москва,0,61,0,165
36634731597,Стохастическое моделирование в экономике и финансах,Москва,50,11,20,2
36634743633,Операционная эффективность и производственные системы,Москва,46,15,30,52
36634831090,Инвестиции на финансовых рынках,Москва,0,60,0,150
36634231345,Управление и экономика здравоохранения,Москва,37,23,25,15
36634049850,Анализ данных в биологии и медицине,Москва,48,12,25,10
36634183392,Финансовые технологии и анализ данных,Москва,0,59,0,75
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,46,13,20,10
36923606680,Информационная безопасность систем искусственного интеллекта,Москва,0,58,0,50
36634882278,Цифровые коммуникации и продуктовая аналитика,Москва,42,15,5,40
36633480989,Математика,Москва,45,12,35,10
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,48,9,20,10
36634124878,Информационная безопасность в кредитно-финансовой сфере,Москва,46,11,25,20
36635094740,Современное востоковедение,Москва,43,13,25,20
36634106321,Аналитика данных и прикладная статистика,Москва,0,55,0,105
36634795496,Финансы,Москва,0,55,0,150
36634122630,Машинное обучение в цифровом продукте,Москва,0,54,0,40
36634829009,Корпоративные финансы,Москва,0,54,0,140
36960452806,Психологическое сопровождение в сфере управления здоровьем и благополучием,НИУ ВШЭ - Санкт-Петербург,41,13,10,13
36635022403,Педагогическое образование,Москва,43,10,35,10
36634870561,Политика. Экономика. Философия,Москва,40,13,20,5
36634774098,Фармправо и здравоохранение,Москва,43,10,20,10
36704613610,Медиапроизводство и медиааналитика,НИУ ВШЭ - Санкт-Петербург,40,13,14,25
36704610744,Финансы,НИУ ВШЭ - Санкт-Петербург,38,15,25,10
36634226310,Управление инновационным бизнесом,Москва,0,52,0,200
36704612429,Право интеллектуальной собственности в цифровую эпоху,НИУ ВШЭ - Санкт-Петербург,39,12,17,25
36634890974,Коммуникации в государственных структурах и НКО,Москва,43,7,15,40
36634772526,Сравнительное правоведение и фундаментальный правовой анализ,Москва,41,9,20,5
36704611878,Менеджмент в индустрии впечатлений,НИУ ВШЭ - Санкт-Петербург,38,10,25,25
36704622556,Бизнес- и ИТ-архитектура высокотехнологичных компаний,НИУ ВШЭ - Санкт-Петербург,36,12,20,15
36971549759,Умные устройства: аппаратная разработка,Москва,36,11,15,10
36634258902,"Управление в сфере науки, технологий и инноваций",Москва,38,9,25,7
36634479650,Литературное мастерство,Москва,38,8,25,25
36634400395,Клеточная и молекулярная биотехнология,Москва,37,8,15,10
36704613009,Право и государственное управление,НИУ ВШЭ - Санкт-Петербург,33,12,17,20
36635009868,Современные медиаисследования и аналитика,Москва,37,8,10,5
36634168709,Технологии искусственного интеллекта в телекоммуникациях,Москва,35,10,20,5
36634647712,Культурные исследования,Москва,37,8,30,30
36634873573,Прикладная политология,Москва,33,11,25,5
36704614836,Дизайн,НИУ ВШЭ - Санкт-Петербург,34,10,7,100
36704610945,Международный бизнес в странах Азиатско-Тихоокеанского региона,НИУ ВШЭ - Санкт-Петербург,33,11,30,10
36634648154,История художественной культуры и рынок искусства,Москва,35,9,14,25
36923676128,Исторические исследования,Москва,33,10,20,20
36634166805,ЛигалТех,Москва,0,42,0,70
36634481602,Компьютерная лингвистика,Москва,31,11,25,15
37044276777,Бизнес-аналитика и цифровые решения в финансах,Москва,0,41,0,60
36923650437,Цифровые технологии в гуманитарных исследованиях,Москва,33,7,20,20
36634821614,Социология публичной сферы и цифровая аналитика,Москва,35,5,30,5
36634047694,Совместная магистратура НИУ ВШЭ и ЦПМ,Москва,30,8,18,5
36634826816,Магистр аналитики бизнеса,Москва,0,37,0,145
36634237558,Управление в креативных индустриях,Москва,0,37,0,120
36635049966,Философские исследования,Москва,27,9,25,20
36634209205,Психология в бизнесе,Москва,0,36,0,120
36634216077,Системная семейная психотерапия,Москва,0,36,0,26
36634796161,Финансовый аналитик,Москва,0,36,0,70
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,30,6,20,10
36923571101,Нейробиология,Москва,26,9,15,5
36634423461,Когнитивные науки и технологии: от нейрона к познанию,Москва,29,5,20,15
36634659756,"Классический и современный Восток: языки, культуры, религии",Москва,27,7,15,15
36635146793,Аналитик деловой разведки,Москва,20,13,10,25
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,29,4,20,5
36634770807,Юрист мирового финансового рынка,Москва,0,33,0,30
36634877567,Управление стратегическими коммуникациями,Москва,0,32,0,250
36634123413,Исследования и предпринимательство в искусственном интеллекте,Москва,0,32,0,40
36936823912,Филологические исследования,Москва,23,7,16,14
36634680809,Комплексный социальный анализ,Москва,24,5,20,5
36634735457,Управление B2C-бизнесом: технологии и инновации,Москва,0,29,0,63
36704611554,Стратегическое управление логистикой и цепями поставок,НИУ ВШЭ - Санкт-Петербург,24,3,25,10
36634183987,Физика,Москва,23,4,15,20
36704613901,Языковые технологии в бизнесе и образовании,НИУ ВШЭ - Санкт-Петербург,23,4,10,20
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,20,6,15,20
36704614230,Русская литература в кросс-культурной и интермедиальной перспективах,НИУ ВШЭ - Санкт-Петербург,21,5,15,10
36960463781,Политика и глобальное управление в Евразии,НИУ ВШЭ - Санкт-Петербург,18,8,5,5
36635012278,Современные технологии преподавания дизайна и искусства,Москва,20,5,25,25
37003567710,Доказательное развитие образования,Москва,20,5,35,10
36634744291,Население и развитие,Москва,16,9,5,5
36634477214,"Международный спортивный менеджмент, маркетинг и право",Москва,0,24,0,
36634765632,Сравнительные социальные исследования,Москва,19,5,15,5
36634184189,Химия молекулярных систем и материалов,Москва,21,3,15,2
36634819326,Социальный анализ рынков на цифровых и опросных данных,Москва,21,3,30,5
36634106914,Биоинформатика в агробиотехнологиях,Москва,18,6,15,15
36634704114,Демография,Москва,20,3,16,5
36962612385,Религиозная дипломатия в многополярном мире,Москва,15,8,15,5
36634805591,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,Москва,22,0,20,0
36704612152,Современный социальный анализ,НИУ ВШЭ - Санкт-Петербург,18,4,25,10
36634399435,Интернет вещей и киберфизические системы,Москва,20,2,20,5
36634184649,Цифровая урбанистика и аналитика города,Москва,0,21,0,35
36634629125,Теория языка и полевая лингвистика,Москва,14,7,16,20
36634798363,Финансовый инжиниринг,Москва,0,21,0,65
36922870902,Искусственный интеллект и продуктовый подход в HR-менеджменте,Москва,0,20,0,40
36704615026,Кросс-культурные исследования Азии и Африки в контексте международных отношений,НИУ ВШЭ - Санкт-Петербург,16,4,15,10
36634656654,Коммуникационный и цифровой дизайн,Москва,0,20,0,120
36923667513,Археологические исследования,Москва,16,3,16,15
36634484168,Китайский язык в межкультурной бизнес-коммуникации,Москва,0,19,0,75
36960454475,Социальное предпринимательство и инновации,НИУ ВШЭ - Санкт-Петербург,18,1,10,20
36985942928,Пространственные данные и прикладная геоаналитика,Москва,15,3,15,10
36635111472,Русский язык как иностранный,Москва,16,2,21,19
36635147849,Обучение и оценивание как наука,Москва,15,3,30,10
36634813694,Международный корпоративный комплаенс и этика бизнеса,Москва,0,18,0,25
36635027515,Педагогический дизайн: теория и практика обучения,Москва,0,17,0,70
36634777602,"Программа двух дипломов НИУ ВШЭ и Университета Кёнхи ""Экономика, политика и бизнес в Азии""",Москва,0,17,0,30
36704622856,Вычислительная биология и биоинформатика,НИУ ВШЭ - Санкт-Петербург,12,5,7,10
36634398922,Прикладная электроника и фотоника,Москва,16,1,25,5
36704622200,Прикладная лингвистика: обучение иностранному языку и перевод в цифровой среде,НИУ ВШЭ - Санкт-Петербург,0,17,0,50
36923619805,Цифровой инжиниринг в телекоммуникациях,Москва,16,0,15,10
36957165108,"Международный спортивный менеджмент, маркетинг и право",Москва,0,16,0,
36960475205,Политика и глобальное управление в Евразии,НИУ ВШЭ - Санкт-Петербург,9,6,5,5
36704614570,Глобальная и региональная история,НИУ ВШЭ - Санкт-Петербург,12,2,10,10
36704615682,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,10,4,10,10
36635059832,Практики современного искусства,Москва,0,13,0,50
36634185339,Управление низкоуглеродным развитием,Москва,11,1,15,10
36704615400,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,11,0,10,10
36704623157,Проектирование и разработка высоконагруженных информационных систем,НИУ ВШЭ - Санкт-Петербург,0,10,0,20
36634652262,Интерактивный дизайн,Москва,0,9,0,120
36704609990,Физика,НИУ ВШЭ - Санкт-Петербург,8,1,10,5
36635016240,Продюсер в музыкальной индустрии,Москва,0,9,0,50
36635053719,Практики кураторства в современном искусстве,Москва,0,9,0,40
36913199560,Мода,Москва,0,6,0,50
36635019313,Продюсер театра и исполнительских искусств,Москва,0,6,0,25
36634649665,Дизайн среды,Москва,0,5,0,40
36634185785,Цифровая инженерия для компьютерных игр,Москва,0,4,0,55
